lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Final_Accuracy	Sparsity	Tot_time	Pr_time	Accuracy	Train_loss
0.01	1.3	0.6	300	200	64	0.0001	0.9	0.0005	100.0	65.44	134640	2:22:24.853153	1:49:16.033781	64.27	1.29
0.01	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	0.01	69.41	0	2:24:23.125654	1:50:19.642403	68.96	2.2904
0.01	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	0.33	65.08	157248	2:23:37.647244	1:51:02.680180	63.44	1.401
0.01	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	100.0	67.85	0	2:21:44.155450	1:48:40.269942	67.36	0.4001
0.01	1.6	0.01	300	200	64	0.0001	0.9	0.0005	0.01	69.3	0	2:23:47.341998	1:50:24.046629	68.55	2.2763
0.01	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	0.1	68.01	0	2:19:08.012042	1:46:40.646666	67.66	0.5414
0.01	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	0.66	67.55	0	2:27:15.740154	1:53:06.102597	67.13	0.5393
0.01	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	2.0	68.46	0	2:24:24.045710	1:50:39.976169	68.2	0.6023
0.01	0.1	0.01	300	200	64	0.0001	0.9	0.0005	0.1	68.57	0	2:18:46.277189	1:46:18.717235	68.55	0.5308
0.01	0.1	0.01	300	200	64	0.0001	0.9	0.0005	0.66	68.02	0	2:27:02.274369	1:53:01.017470	68.07	0.5298
0.01	0.1	0.01	300	200	64	0.0001	0.9	0.0005	2.0	68.48	0	2:29:10.781839	1:54:19.912036	68.2	0.5975
0.01	0.1	0.3	300	200	64	0.0001	0.9	0.0005	0.1	67.89	0	2:19:04.016535	1:46:31.349546	67.55	0.5048
0.01	0.1	0.3	300	200	64	0.0001	0.9	0.0005	0.66	67.95	0	2:27:26.162914	1:53:18.388318	67.63	0.4965
0.01	0.1	0.3	300	200	64	0.0001	0.9	0.0005	2.0	67.34	0	2:24:54.441186	1:51:29.800426	67.19	0.4446
0.01	0.1	0.6	300	200	64	0.0001	0.9	0.0005	0.1	68.43	0	2:18:54.918257	1:46:24.459788	68.3	0.4706
0.01	0.1	0.6	300	200	64	0.0001	0.9	0.0005	0.66	67.83	0	2:27:16.334775	1:53:12.019421	67.66	0.4992
0.01	0.1	0.6	300	200	64	0.0001	0.9	0.0005	2.0	68.03	0	2:28:57.397144	1:54:06.401027	68.24	0.4937
0.01	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	0.1	69.43	144	2:18:56.734642	1:46:24.474445	69.07	1.2746
0.01	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	0.66	68.17	24048	2:27:15.507461	1:53:10.451739	67.6	1.0017
0.01	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	2.0	68.36	75744	2:28:36.979024	1:53:47.896353	67.23	1.142
0.01	0.7	0.01	300	200	64	0.0001	0.9	0.0005	0.1	69.18	576	2:20:25.140662	1:47:54.402224	69.11	1.2717
0.01	0.7	0.01	300	200	64	0.0001	0.9	0.0005	0.66	68.78	26352	2:27:18.559121	1:53:13.705056	67.95	1.0094
0.01	0.7	0.01	300	200	64	0.0001	0.9	0.0005	2.0	67.07	72288	2:23:30.238250	1:49:56.254167	66.67	1.1463
0.01	0.7	0.3	300	200	64	0.0001	0.9	0.0005	0.1	69.03	576	2:19:16.199390	1:46:35.567354	68.75	1.0679
0.01	0.7	0.3	300	200	64	0.0001	0.9	0.0005	0.66	68.39	23328	2:27:13.314435	1:52:59.401867	68.17	0.9187
0.01	0.7	0.3	300	200	64	0.0001	0.9	0.0005	2.0	68.37	0	2:27:33.282360	1:52:44.674632	68.19	0.7167
0.01	0.7	0.6	300	200	64	0.0001	0.9	0.0005	0.1	69.23	0	2:19:10.724165	1:46:27.004646	69.23	0.8551
0.01	0.7	0.6	300	200	64	0.0001	0.9	0.0005	0.66	68.53	16992	2:26:57.802335	1:52:59.509990	68.31	0.9607
0.01	0.7	0.6	300	200	64	0.0001	0.9	0.0005	2.0	68.8	26496	2:28:50.245585	1:53:59.182318	68.02	0.9816
0.01	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	0.1	68.58	46656	2:18:46.118500	1:46:17.184803	67.89	1.8093
0.01	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	0.66	66.01	146448	2:27:26.161955	1:53:07.910115	64.22	1.3195
0.01	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	2.0	64.4	146880	2:28:04.402735	1:53:34.408237	61.55	1.4608
0.01	1.3	0.01	300	200	64	0.0001	0.9	0.0005	0.1	68.49	33984	2:19:09.414088	1:46:44.552021	68.11	1.8151
0.01	1.3	0.01	300	200	64	0.0001	0.9	0.0005	0.66	65.69	139680	2:27:11.766517	1:53:07.821183	64.12	1.3181
0.01	1.3	0.01	300	200	64	0.0001	0.9	0.0005	2.0	64.81	136827	2:23:33.026089	1:50:30.200551	63.1	1.4538
0.01	1.3	0.3	300	200	64	0.0001	0.9	0.0005	0.1	69.63	35136	2:19:49.705984	1:47:13.655554	68.99	1.493
0.01	1.3	0.3	300	200	64	0.0001	0.9	0.0005	0.66	67.39	85536	2:27:26.821927	1:53:14.317152	66.18	1.1919
0.01	1.3	0.3	300	200	64	0.0001	0.9	0.0005	2.0	69.05	5184	2:25:13.026030	1:51:47.324201	68.42	0.8961
0.01	1.3	0.6	300	200	64	0.0001	0.9	0.0005	0.1	69.37	10368	2:19:04.413292	1:46:35.724666	68.54	1.1499
0.01	1.3	0.6	300	200	64	0.0001	0.9	0.0005	0.66	67.11	106731	2:27:15.102588	1:53:04.053551	66.18	1.2313
0.01	1.3	0.6	300	200	64	0.0001	0.9	0.0005	2.0	66.2	136368	2:28:32.503366	1:53:44.974285	64.58	1.2863
0.01	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	0.1	68.69	69408	2:19:17.861443	1:46:48.409688	67.61	1.9641
0.01	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	0.66	64.87	151776	2:27:36.112403	1:52:56.440378	62.95	1.4009
0.01	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	2.0	63.3	162603	2:19:49.905795	1:46:53.232031	60.23	1.5593
0.01	1.6	0.01	300	200	64	0.0001	0.9	0.0005	0.1	68.13	65088	2:18:54.174019	1:46:25.045083	67.45	1.9818
0.01	1.6	0.01	300	200	64	0.0001	0.9	0.0005	0.66	64.41	155664	2:27:28.410686	1:53:05.776609	63.04	1.4063
0.01	1.6	0.01	300	200	64	0.0001	0.9	0.0005	2.0	64.27	156096	2:24:35.110382	1:51:29.657059	62.33	1.5318
0.01	1.6	0.3	300	200	64	0.0001	0.9	0.0005	0.1	67.97	58752	2:20:04.580883	1:47:21.642358	67.48	1.6488
0.01	1.6	0.3	300	200	64	0.0001	0.9	0.0005	0.66	65.26	143856	2:27:44.665546	1:53:33.535323	64.0	1.3437
0.01	1.6	0.3	300	200	64	0.0001	0.9	0.0005	2.0	68.31	14832	2:24:34.130886	1:51:13.373771	67.48	0.9675
0.01	1.6	0.6	300	200	64	0.0001	0.9	0.0005	0.1	68.31	70272	2:18:37.579212	1:46:06.396656	68.06	1.2809
0.01	1.6	0.6	300	200	64	0.0001	0.9	0.0005	0.66	66.42	123120	2:27:17.199413	1:52:58.997140	64.76	1.3031
0.01	1.6	0.6	300	200	64	0.0001	0.9	0.0005	2.0	65.35	152496	2:28:11.792214	1:53:25.121483	63.74	1.3636
0.1	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	0.1	69.05	6012	2:19:55.689708	1:47:15.326895	68.37	0.7504
0.1	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	0.66	69.05	14742	2:27:07.685536	1:53:02.256290	67.87	0.791
0.1	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	2.0	68.23	25713	2:28:25.088289	1:53:46.174402	66.77	0.9142
0.1	0.1	0.01	300	200	64	0.0001	0.9	0.0005	0.1	69.24	5841	2:18:54.629539	1:46:32.893583	67.95	0.741
0.1	0.1	0.01	300	200	64	0.0001	0.9	0.0005	0.66	68.84	13500	2:27:15.501969	1:53:11.561850	68.02	0.7677
0.1	0.1	0.01	300	200	64	0.0001	0.9	0.0005	2.0	67.9	20556	2:22:33.864207	1:49:09.181868	66.82	0.8975
0.1	0.1	0.3	300	200	64	0.0001	0.9	0.0005	0.1	68.83	6705	2:26:04.023703	1:52:47.150444	67.58	0.72
0.1	0.1	0.3	300	200	64	0.0001	0.9	0.0005	0.66	69.68	11196	2:26:46.376045	1:52:43.007904	68.15	0.7213
0.1	0.1	0.3	300	200	64	0.0001	0.9	0.0005	2.0	68.44	4113	2:22:39.115835	1:48:04.238874	68.42	0.6059
